street,city,neighborhood,address_area,address_neighborhood
נחלת בנימין,תל אביב יפו,פלורנטין,,
צלילי חנינא,תל אביב יפו,ניר אביב,,
אדירים,תל אביב יפו,צהלה,,
המגיד מדובנה,תל אביב יפו,"עג'מי, גבעת העליה",,
ה' באייר,תל אביב יפו,הצפון החדש - כיכר המדינה,,
בזל,תל אביב יפו,הצפון הישן - צפון,,
יוסף אליהו,תל אביב יפו,הצפון הישן - דרום,,
דרך נמיר,תל אביב יפו,בבלי,,
אדוארד ברנשטיין,תל אביב יפו,הצפון הישן - צפון,,
נחום הנביא,תל אביב יפו,הצפון הישן - צפון,,
הדולפין,תל אביב יפו,"עג'מי, גבעת העליה",,
עמיחי פאגלין,תל אביב יפו,"אזורי חן, גימל החדשה, צוקי אביב",,
לואי פסטר,תל אביב יפו,יפו העתיקה,,
מרכז בעלי מלאכה,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
זטורי,תל אביב יפו,הצפון החדש - צפון,,
ויתקין,תל אביב יפו,הצפון הישן - צפון,,
מגן אברהם,תל אביב יפו,"צפון יפו, המושבה האמריקאית-גרמנית",,
רוני,תל אביב יפו,"התקוה, בית יעקב, נוה צה""ל",,
"ד""ר וילהלם פילדרמן",תל אביב יפו,"גני צהלה, רמות צהלה",תל אביב,"גני צהלה, רמות צהלה"
המערכה,תל אביב יפו,יד אליהו,תל אביב,יד אליהו
זלמן מייזל,תל אביב יפו,"נוה גולן, יפו ג'",תל אביב,"נוה גולן, יפו ג'"
יצחק בשביס זינגר,תל אביב יפו,"הגוש הגדול, רמת אביב החדשה, נופי ים",,
קדם,תל אביב יפו,"עג'מי, גבעת העליה",,
יעקב שבתאי,תל אביב יפו,המשתלה,,
לבלוב,תל אביב יפו,"התקוה, בית יעקב, נוה צה""ל",,
העלייה,תל אביב יפו,נוה שאנן,תל אביב,נוה שאנן
משה וילנסקי,תל אביב יפו,המשתלה,,
ויסוצקי,תל אביב יפו,הצפון החדש - כיכר המדינה,,
"אד""ם הכהן",תל אביב יפו,הצפון הישן - צפון,,
מיכה,תל אביב יפו,הצפון הישן - צפון,,
אוריאל אקוסטה,תל אביב יפו,פלורנטין,תל אביב,פלורנטין
קרליבך,תל אביב יפו,"גני שרונה, קרית הממשלה",תל אביב,"גני שרונה, קרית הממשלה"
אייזק שטרן,תל אביב יפו,"תכנית ל', למד",,
נחלת יצחק,תל אביב יפו,נחלת יצחק,,
ביירון,תל אביב יפו,הצפון הישן - דרום,,
רומן רולן,תל אביב יפו,"צהלון, שיכוני חסכון",תל אביב,"צהלון, שיכוני חסכון"
לוין קיפניס,תל אביב יפו,המשתלה,,
הצנחנים,תל אביב יפו,נוה שרת,,
שדרות ישראל גורי,תל אביב יפו,קרית שלום,תל אביב,קרית שלום
נמירובר,תל אביב יפו,רמת החייל,,
"ד""ר רות רופין פלד",תל אביב יפו,"גני צהלה, רמות צהלה",תל אביב,"גני צהלה, רמות צהלה"
ישראל'ס,תל אביב יפו,הצפון הישן - דרום,,
שדרות הר ציון,תל אביב יפו,נוה שאנן,תל אביב,נוה שאנן
"גרשון ש""ץ",תל אביב יפו,"מונטיפיורי, הרכבת",,
יוסף קארו,תל אביב יפו,"מונטיפיורי, הרכבת",,
צידון,תל אביב יפו,הצפון הישן - צפון,,
ליאונרדו דה וינצ'י,תל אביב יפו,"גני שרונה, קרית הממשלה",,
כורזים,תל אביב יפו,נוה שרת,תל אביב,נוה שרת
ז'בוטינסקי,תל אביב יפו,הצפון החדש - כיכר המדינה,,
דיצה,תל אביב יפו,"צפון יפו, המושבה האמריקאית-גרמנית",,
התבור,תל אביב יפו,נוה צדק,,
ענתות,תל אביב יפו,"גני צהלה, רמות צהלה",תל אביב,"גני צהלה, רמות צהלה"
העבודה,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
פתחיה מרגנשבורג,תל אביב יפו,"שיכון דן, נוה דן",,
שמשון הגיבור,תל אביב יפו,הצפון הישן - דרום,,
הקשת,תל אביב יפו,קרית שלום,,
לבנדובסקי,תל אביב יפו,קרית שלום,,
"רש""י",תל אביב יפו,"לב תל אביב, לב העיר צפון",,
הרב אלנקווה,תל אביב יפו,"נוה ברבור, כפר שלם מערב",תל אביב,"נוה ברבור, כפר שלם מערב"
קהילת סלוניקי,תל אביב יפו,נאות אפקה א',,
"ישראל ב""ק",תל אביב יפו,"מונטיפיורי, הרכבת",תל אביב,"מונטיפיורי, הרכבת"
ריינס,תל אביב יפו,הצפון הישן - דרום,,
שדרות מוצקין,תל אביב יפו,הצפון הישן - צפון,תל אביב,הצפון הישן - צפון
הרב צירלסון,תל אביב יפו,הצפון החדש - צפון,,
וולפסון,תל אביב יפו,פלורנטין,,
בר כוכבא,תל אביב יפו,הצפון הישן - דרום,,
הלפרין,תל אביב יפו,הצפון הישן - צפון,,
אבן גבירול,תל אביב יפו,כוכב הצפון,,
גאולה,תל אביב יפו,כרם התימנים,,
חנה רובינא,תל אביב יפו,תל ברוך צפון,,
איילת השחר,תל אביב יפו,נוה שאנן,,
מודיליאני,תל אביב יפו,הצפון החדש - דרום,,
אלשיך,תל אביב יפו,כרם התימנים,,
לוחמי גליפולי,תל אביב יפו,יד אליהו,,
שלום אש,תל אביב יפו,הדר יוסף,,
וילי ברנדט,תל אביב יפו,"צפון יפו, המושבה האמריקאית-גרמנית",,
ישראל מריז'ין,תל אביב יפו,"צהלון, שיכוני חסכון",,
משמר הגבול,תל אביב יפו,אפקה,תל אביב,אפקה
דולצ'ין,תל אביב יפו,"הגוש הגדול, רמת אביב החדשה, נופי ים",,
השלכת,תל אביב יפו,נוה שאנן,תל אביב,נוה שאנן
שקד,תל אביב יפו,"נוה עופר, תל כביר",תל אביב,"נוה עופר, תל כביר"
ויזל,תל אביב יפו,הצפון הישן - צפון,,
דקל,תל אביב יפו,"נוה עופר, תל כביר",תל אביב,"נוה עופר, תל כביר"
הלסינקי,תל אביב יפו,הצפון החדש - כיכר המדינה,,
שולמית,תל אביב יפו,הצפון הישן - דרום,תל אביב,הצפון הישן - דרום
צבי פרופס,תל אביב יפו,איזור שדה דב,תל אביב,איזור שדה דב
מאנה,תל אביב יפו,הצפון הישן - דרום,,
שדרות שאול המלך,תל אביב יפו,"גני שרונה, קרית הממשלה",תל אביב,"גני שרונה, קרית הממשלה"
ראובן רובין,תל אביב יפו,נאות אפקה ב',,
בית פלט,תל אביב יפו,"עג'מי, גבעת העליה",,
הנשיאים,תל אביב יפו,בבלי,,
ברודצקי,תל אביב יפו,רמת אביב,,
שמואל ברקאי,תל אביב יפו,רמת אביב ג',תל אביב,רמת אביב ג'
טאגור,תל אביב יפו,נוה אביבים,,
עין הקורא,תל אביב יפו,נוה שאנן,,
לאה גולדברג,תל אביב יפו,נאות אפקה ב',תל אביב,נאות אפקה ב'
"מיכ""ל",תל אביב יפו,"לב תל אביב, לב העיר צפון",תל אביב,"לב תל אביב, לב העיר צפון"
יאיר,תל אביב יפו,"התקוה, בית יעקב, נוה צה""ל",,
חיננית,תל אביב יפו,"יפו ד', גבעת התמרים",תל אביב,"יפו ד', גבעת התמרים"
בוני העיר,תל אביב יפו,כוכב הצפון,,
אחד העם,תל אביב יפו,נוה צדק,,
דב האוזנר,תל אביב יפו,"תכנית ל', למד",,
דרך הגבורה,תל אביב יפו,ביצרון ורמת ישראל,תל אביב,ביצרון ורמת ישראל
אורי צבי גרינברג,תל אביב יפו,"אזורי חן, גימל החדשה, צוקי אביב",,
אביטל,תל אביב יפו,"התקוה, בית יעקב, נוה צה""ל",תל אביב,"התקוה, בית יעקב, נוה צה""ל"
אורים,תל אביב יפו,"עזרא, הארגזים",,
עזריה,תל אביב יפו,הצפון הישן - צפון,,
עמנואל הרומי,תל אביב יפו,הצפון הישן - צפון,,
"ש""י",תל אביב יפו,אפקה,,
קהילת ביאליסטוק,תל אביב יפו,הדר יוסף,,
דגניה,תל אביב יפו,נוה צדק,,
פרישמן,תל אביב יפו,הצפון הישן - דרום,,
ערבי נחל,תל אביב יפו,נחלת יצחק,,
הרב גליקסברג,תל אביב יפו,נאות אפקה ב',תל אביב,נאות אפקה ב'
יציאה למחלף גלילות,תל אביב יפו,"גלילות, סי אנד סאן",תל אביב,"גלילות, סי אנד סאן"
אברהם בויאר,תל אביב יפו,רמת אביב ג',,
סמטת גן מאיר,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
"מזא""ה",תל אביב יפו,"לב תל אביב, לב העיר צפון",,
הרב יצחק ידידיה פרנקל,תל אביב יפו,פלורנטין,,
לוינסקי,תל אביב יפו,פלורנטין,,
פיארברג,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
ויטל,תל אביב יפו,פלורנטין,,
אופיר,תל אביב יפו,תל ברוך,,
בית אל,תל אביב יפו,נוה שרת,,
טרפון,תל אביב יפו,"התקוה, בית יעקב, נוה צה""ל",,
מאפו,תל אביב יפו,הצפון הישן - דרום,תל אביב,הצפון הישן - דרום
אשרמן,תל אביב יפו,רמת הטייסים,,
הונא,תל אביב יפו,"התקוה, בית יעקב, נוה צה""ל",תל אביב,"התקוה, בית יעקב, נוה צה""ל"
וייצמן,תל אביב יפו,הצפון החדש - צפון,,
1,תל אביב יפו,"התקוה, בית יעקב, נוה צה""ל",תל אביב,"התקוה, בית יעקב, נוה צה""ל"
ישכון,תל אביב יפו,כרם התימנים,,
יהודה עמיחי,תל אביב יפו,"תכנית ל', למד",,
גונן,תל אביב יפו,תל חיים,,
אברהם ענתבי,תל אביב יפו,נוה שאנן,תל אביב,נוה שאנן
בן סירא,תל אביב יפו,בבלי,תל אביב,בבלי
בני דן,תל אביב יפו,הצפון החדש - צפון,,
דב הוז,תל אביב יפו,הצפון הישן - דרום,,
קמינסקה,תל אביב יפו,קרית שלום,,
משה בריל,תל אביב יפו,"כפיר, נוה כפיר",,
פטרסון,תל אביב יפו,יד אליהו,,
ישראל מסלנט,תל אביב יפו,שפירא,תל אביב,שפירא
מעפילי אגוז,תל אביב יפו,נוה חן,,
קהילת קנדה,תל אביב יפו,"יפו ד', גבעת התמרים",,
הבשן,תל אביב יפו,הצפון הישן - צפון,,
פרופ' שור,תל אביב יפו,הצפון החדש - כיכר המדינה,,
פיקוס,תל אביב יפו,"נוה גולן, יפו ג'",,
וכטנגוב,תל אביב יפו,"מכללת תל אביב יפו, דקר",תל אביב,"מכללת תל אביב יפו, דקר"
צבי הרמן שפירא,תל אביב יפו,הצפון הישן - דרום,,
מניה וישראל שוחט,תל אביב יפו,אפקה,,
האמוראים,תל אביב יפו,נוה אביבים,,
מקס ברוד,תל אביב יפו,המשתלה,,
שמעוני,תל אביב יפו,רמת אביב,תל אביב,רמת אביב
אמיל בריג,תל אביב יפו,הדר יוסף,,
יודפת,תל אביב יפו,הצפון הישן - צפון,,
פומבדיתא,תל אביב יפו,הצפון החדש - דרום,,
קהילת בודפשט,תל אביב יפו,הדר יוסף,,
יעקב מרידור,תל אביב יפו,תל ברוך צפון,תל אביב,תל ברוך צפון
יעבץ,תל אביב יפו,נוה צדק,,
משה סנה,תל אביב יפו,קרית שאול,,
הכנסת הגדולה,תל אביב יפו,בבלי,,
סמטת שלוש,תל אביב יפו,נוה צדק,תל אביב,נוה צדק
יבנה,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
דפנה,תל אביב יפו,הצפון החדש - דרום,,
זמנהוף,תל אביב יפו,הצפון הישן - דרום,,
הזוהר,תל אביב יפו,בבלי,תל אביב,בבלי
אריה פסטרנק,תל אביב יפו,נוה אביבים,,
נתן הנביא,תל אביב יפו,"התקוה, בית יעקב, נוה צה""ל",,
תמריר,תל אביב יפו,"עג'מי, גבעת העליה",,
"שפ""ר",תל אביב יפו,"לב תל אביב, לב העיר צפון",,
שוקן,תל אביב יפו,"גבעת הרצל, בלומפילד",,
אסירי ציון,תל אביב יפו,קרית שלום,,
אסתר המלכה,תל אביב יפו,הצפון הישן - דרום,,
צביה לובטקין,תל אביב יפו,"נוה אליעזר, כפר שלם מזרח",תל אביב,"נוה אליעזר, כפר שלם מזרח"
